task_name,temperature,num_completions,execution_time_s,time_per_completion_s
HumanEval_0_has_close_elements,0.5,5,21.2207,4.2441
HumanEval_1_separate_paren_groups,0.5,5,63.4616,12.6923
HumanEval_2_truncate_number,0.5,5,5.7346,1.1469
HumanEval_3_below_zero,0.5,5,22.6032,4.5206
HumanEval_4_mean_absolute_deviation,0.5,5,24.0109,4.8022
HumanEval_5_intersperse,0.5,5,14.1978,2.8396
HumanEval_6_parse_nested_parens,0.5,5,54.0160,10.8032
HumanEval_7_filter_by_substring,0.5,5,3.6200,0.7240
HumanEval_8_sum_product,0.5,5,13.2153,2.6431
HumanEval_9_rolling_max,0.5,5,14.3214,2.8643
HumanEval_10_make_palindrome,0.5,5,25.8832,5.1766
HumanEval_11_string_xor,0.5,5,14.7780,2.9556
HumanEval_12_longest,0.5,5,21.8505,4.3701
HumanEval_13_greatest_common_divisor,0.5,5,5.8835,1.1767
HumanEval_14_all_prefixes,0.5,5,8.7799,1.7560
HumanEval_15_string_sequence,0.5,5,9.8855,1.9771
HumanEval_16_count_distinct_characters,0.5,5,11.9793,2.3959
HumanEval_17_parse_music,0.5,5,75.5680,15.1136
HumanEval_18_how_many_times,0.5,5,15.1840,3.0368
HumanEval_19_sort_numbers,0.5,5,7.0248,1.4050
HumanEval_20_find_closest_elements,0.5,5,49.0788,9.8158
HumanEval_21_rescale_to_unit,0.5,5,21.7351,4.3470
HumanEval_22_filter_integers,0.5,5,8.3321,1.6664
HumanEval_23_strlen,0.5,5,1.8485,0.3697
HumanEval_24_largest_divisor,0.5,5,12.1407,2.4281
HumanEval_25_factorize,0.5,5,18.0775,3.6155
HumanEval_26_remove_duplicates,0.5,5,19.7895,3.9579
HumanEval_27_flip_case,0.5,5,18.4262,3.6852
HumanEval_28_concatenate,0.5,5,22.6097,4.5219
HumanEval_29_filter_by_prefix,0.5,5,23.7584,4.7517
HumanEval_30_get_positive,0.5,5,12.1793,2.4359
HumanEval_31_is_prime,0.5,5,15.2519,3.0504
HumanEval_33_sort_third,0.5,5,44.8040,8.9608
HumanEval_34_unique,0.5,5,14.6034,2.9207
HumanEval_35_max_element,0.5,5,12.9455,2.5891
HumanEval_36_fizz_buzz,0.5,5,22.8473,4.5695
